landingPagePlusQueryString,sessionSourceMedium,sessions_current,sessions_previous,sessions_delta,sessions_delta_pct,totalUsers_current,totalUsers_previous,totalUsers_delta,totalUsers_delta_pct,screenPageViews_current,screenPageViews_previous,screenPageViews_delta,screenPageViews_delta_pct,engagedSessions_current,engagedSessions_previous,engagedSessions_delta,engagedSessions_delta_pct
(not set),chatgpt.com / referral,1,1,0,0%,1,1,0,0%,0,0,0,,0,0,0,
(not set),cn.bing.com / referral,1,0,1,,1,0,1,,0,0,0,,0,0,0,
(not set),confluence.daj-net.daj.co.jp:8443 / referral,1,0,1,,1,0,1,,0,0,0,,0,0,0,
(not set),copilot.com / referral,1,0,1,,1,0,1,,0,0,0,,0,0,0,
(not set),github.com / referral,1,0,1,,1,0,1,,0,0,0,,0,0,0,
(not set),hitachigroup.okta.com / referral,1,0,1,,1,0,1,,0,0,0,,0,0,0,
/,docs.google.com / referral,1,0,1,,1,0,1,,1,0,1,,0,0,0,
/about,(direct) / (none),1,0,1,,1,0,1,,1,0,1,,0,0,0,
/archives/1045,google / organic,1,0,1,,1,0,1,,1,0,1,,1,0,1,
/archives/1049,google / organic,1,1,0,0%,1,1,0,0%,1,1,0,0%,1,0,1,
/archives/105,(not set),1,0,1,,1,0,1,,1,0,1,,0,0,0,
/archives/105,perplexity.ai / referral,1,0,1,,1,0,1,,2,0,2,,1,0,1,
/archives/105,yahoo / organic,1,1,0,0%,1,1,0,0%,1,1,0,0%,0,1,-1,-100%
/archives/1083,bing / organic,1,1,0,0%,1,1,0,0%,1,1,0,0%,1,1,0,0%
/archives/1083,yahoo / organic,1,0,1,,1,0,1,,1,0,1,,0,0,0,
/archives/1119,yahoo / organic,1,0,1,,1,0,1,,1,0,1,,1,0,1,
/archives/1141,bing / organic,1,2,-1,-50%,1,2,-1,-50%,1,2,-1,-50%,1,1,0,0%
/archives/1166,google / organic,1,1,0,0%,1,1,0,0%,1,1,0,0%,1,1,0,0%
/archives/118,google / organic,1,0,1,,1,0,1,,1,0,1,,0,0,0,
/archives/1250,bing / organic,1,1,0,0%,1,1,0,0%,1,1,0,0%,1,1,0,0%
/archives/1319,google / organic,1,0,1,,1,0,1,,2,0,2,,1,0,1,
/archives/140,google / organic,1,1,0,0%,1,1,0,0%,1,1,0,0%,0,0,0,
/archives/3229,bing / organic,0,12,-12,-100%,0,9,-9,-100%,0,12,-12,-100%,0,5,-5,-100%
/archives/2590,(direct) / (none),0,11,-11,-100%,0,11,-11,-100%,0,11,-11,-100%,0,9,-9,-100%
/archives/4154,bing / organic,0,10,-10,-100%,0,9,-9,-100%,0,15,-15,-100%,0,6,-6,-100%
/archives/4154,google / organic,0,8,-8,-100%,0,8,-8,-100%,0,14,-14,-100%,0,4,-4,-100%
/archives/2268,bing / organic,0,6,-6,-100%,0,6,-6,-100%,0,6,-6,-100%,0,4,-4,-100%
/archives/3189,google / organic,0,6,-6,-100%,0,6,-6,-100%,0,6,-6,-100%,0,5,-5,-100%
/archives/2755,bing / organic,0,5,-5,-100%,0,5,-5,-100%,0,5,-5,-100%,0,3,-3,-100%
/archives/3672,bing / organic,0,5,-5,-100%,0,5,-5,-100%,0,6,-6,-100%,0,4,-4,-100%
/archives/670,google / organic,0,5,-5,-100%,0,5,-5,-100%,0,5,-5,-100%,0,4,-4,-100%
/archives/2306,bing / organic,0,4,-4,-100%,0,4,-4,-100%,0,4,-4,-100%,0,2,-2,-100%
/archives/3905,bing / organic,0,4,-4,-100%,0,4,-4,-100%,0,4,-4,-100%,0,2,-2,-100%
/archives/3995,bing / organic,0,4,-4,-100%,0,3,-3,-100%,0,4,-4,-100%,0,1,-1,-100%
/archives/4189,google / organic,0,4,-4,-100%,0,4,-4,-100%,0,4,-4,-100%,0,4,-4,-100%
/archives/633,service.smt.docomo.ne.jp / referral,0,4,-4,-100%,0,3,-3,-100%,0,5,-5,-100%,0,3,-3,-100%
/archives/663,bing / organic,0,4,-4,-100%,0,4,-4,-100%,0,4,-4,-100%,0,3,-3,-100%
/jp/calendar,duckduckgo / organic,0,4,-4,-100%,0,4,-4,-100%,0,8,-8,-100%,0,3,-3,-100%
/archives/218,google / organic,0,3,-3,-100%,0,3,-3,-100%,0,3,-3,-100%,0,2,-2,-100%
/archives/2256,bing / organic,0,3,-3,-100%,0,3,-3,-100%,0,3,-3,-100%,0,3,-3,-100%
/archives/2607,google / organic,0,3,-3,-100%,0,3,-3,-100%,0,3,-3,-100%,0,1,-1,-100%
/archives/2665,bing / organic,0,3,-3,-100%,0,3,-3,-100%,0,4,-4,-100%,0,1,-1,-100%
/archives/3205,(direct) / (none),0,3,-3,-100%,0,3,-3,-100%,0,3,-3,-100%,0,0,0,
/archives/3636,(direct) / (none),0,3,-3,-100%,0,3,-3,-100%,0,5,-5,-100%,0,3,-3,-100%
/archives/3784,bing / organic,0,3,-3,-100%,0,3,-3,-100%,0,3,-3,-100%,0,1,-1,-100%
/archives/580,(direct) / (none),0,3,-3,-100%,0,3,-3,-100%,0,3,-3,-100%,0,1,-1,-100%
