landingPagePlusQueryString,sessions_current,sessions_previous,sessions_delta,sessions_delta_pct,totalUsers_current,totalUsers_previous,totalUsers_delta,totalUsers_delta_pct,screenPageViews_current,screenPageViews_previous,screenPageViews_delta,screenPageViews_delta_pct,engagedSessions_current,engagedSessions_previous,engagedSessions_delta,engagedSessions_delta_pct,averageSessionDuration_current,averageSessionDuration_previous,averageSessionDuration_delta,averageSessionDuration_delta_pct
/archives/2675,1,1,0,0%,1,1,0,0%,1,1,0,0%,1,1,0,0%,30.856322,41.140218,-10.28,-25%
/archives/2697,1,0,1,,1,0,1,,1,0,1,,1,0,1,,87.520817,0,87.52,
/archives/2726,1,5,-4,-80%,1,4,-3,-75%,1,5,-4,-80%,1,1,0,0%,34.255347,44.087980599999995,-9.83,-22.3%
/archives/2761,1,0,1,,1,0,1,,2,0,2,,1,0,1,,5.327144,0,5.33,
/archives/2809,1,0,1,,1,0,1,,1,0,1,,0,0,0,,0,0,0,
/archives/2812,1,0,1,,1,0,1,,1,0,1,,1,0,1,,16.970204,0,16.97,
/archives/2832,1,4,-3,-75%,1,4,-3,-75%,1,4,-3,-75%,1,2,-1,-50%,44.957908,84.9537375,-40,-47.08%
/archives/291,1,0,1,,1,0,1,,1,0,1,,0,0,0,,4.928725,0,4.93,
/archives/2916,1,0,1,,1,0,1,,1,0,1,,1,0,1,,220.824378,0,220.82,
/archives/2919,1,1,0,0%,1,1,0,0%,1,1,0,0%,0,0,0,,0,0,0,
/archives/2931,1,0,1,,1,0,1,,1,0,1,,1,0,1,,60.242995,0,60.24,
/archives/2955,1,0,1,,1,0,1,,1,0,1,,0,0,0,,9.56103,0,9.56,
/archives/2973,1,4,-3,-75%,1,4,-3,-75%,1,4,-3,-75%,1,2,-1,-50%,182.263094,448.43499149999997,-266.17,-59.36%
/archives/30,1,0,1,,1,0,1,,1,0,1,,1,0,1,,16.343924,0,16.34,
/archives/3091,1,0,1,,1,0,1,,1,0,1,,0,0,0,,0,0,0,
/archives/3094,1,1,0,0%,1,1,0,0%,1,1,0,0%,1,0,1,,80.610421,0,80.61,
/archives/3098,1,0,1,,1,0,1,,2,0,2,,1,0,1,,2016.254883,0,2016.25,
/archives/3109,1,3,-2,-66.67%,1,3,-2,-66.67%,1,3,-2,-66.67%,1,3,-2,-66.67%,101.690861,200.18703100000002,-98.5,-49.2%
/archives/3133,1,1,0,0%,1,1,0,0%,1,1,0,0%,1,0,1,,20.46609,4.680816,15.79,337.23%
/archives/3151,1,0,1,,1,0,1,,1,0,1,,1,0,1,,409.229714,0,409.23,
/archives/3155,1,0,1,,1,0,1,,1,0,1,,1,0,1,,19.966807,0,19.97,
/archives/316,1,0,1,,1,0,1,,1,0,1,,1,0,1,,1741.30592,0,1741.31,
/archives/2877,0,21,-21,-100%,0,21,-21,-100%,0,23,-23,-100%,0,1,-1,-100%,0,18.445897952380953,-18.45,-100%
/archives/121,0,8,-8,-100%,0,7,-7,-100%,0,8,-8,-100%,0,1,-1,-100%,0,71.5428655,-71.54,-100%
/archives/2921,0,6,-6,-100%,0,6,-6,-100%,0,6,-6,-100%,0,6,-6,-100%,0,48.70611383333334,-48.71,-100%
/archives/2565,0,5,-5,-100%,0,5,-5,-100%,0,5,-5,-100%,0,2,-2,-100%,0,60.5511622,-60.55,-100%
/archives/3957,0,5,-5,-100%,0,5,-5,-100%,0,5,-5,-100%,0,4,-4,-100%,0,103.12765320000001,-103.13,-100%
/archives/1151,0,4,-4,-100%,0,4,-4,-100%,0,4,-4,-100%,0,1,-1,-100%,0,4.510617,-4.51,-100%
/archives/3280,0,4,-4,-100%,0,4,-4,-100%,0,4,-4,-100%,0,2,-2,-100%,0,104.54692200000001,-104.55,-100%
/archives/3725,0,4,-4,-100%,0,4,-4,-100%,0,4,-4,-100%,0,1,-1,-100%,0,403.68158,-403.68,-100%
/archives/554,0,4,-4,-100%,0,4,-4,-100%,0,5,-5,-100%,0,3,-3,-100%,0,262.57413649999995,-262.57,-100%
/archives/2401,0,3,-3,-100%,0,3,-3,-100%,0,3,-3,-100%,0,3,-3,-100%,0,233.23763766666664,-233.24,-100%
/archives/3250,0,3,-3,-100%,0,3,-3,-100%,0,3,-3,-100%,0,2,-2,-100%,0,44.834545,-44.83,-100%
